Site,Nome do Produto,Preço Bruto,Data do Scraping,Preço Numérico
AliExpress,"Portátil Gaming Office Laptop, Notebook PC, 16GB de RAM, Intel 11th, N5095, Netbook Negócios, Windows 10, 11 Pro, 15,6 ""Tela IPS","R$1.543,05",20250623_195226,1543.05
AliExpress,"Bolsa portátil para laptop 14 15 15.6 tamanhos, para macbook pro, huawei, xiaomi, mac book m1, capa para laptop, acessórios para notebook, capa para laptop","R$45,55",20250623_195226,45.55
AliExpress,Huawei matebook 14s 14.2 Polegada portátil i5-12500H/i7-12700H 16gb 512gb/1tb ssd netbook 90hz tela de toque iris xe notebook pc,"R$5.002,99",20250623_195226,5002.99
AliExpress,"Caderno do jogo do pro Legion 5, 16IAH7H, 82RF003YUS, 16""",R$3.400,20250623_195226,3.4
AliExpress,"Notebook Gaming Asus-ROG Zephyrus Duo, 15 SE GX551 15.6, Autêntico","R$2.149,88",20250623_195226,2149.88
AliExpress,Fromthenon 5 buracos perfurador folha solta caderno papel mini perfurador de folhas soltas encadernação estudante escritório artigos de papelaria suprimentos,"R$12,02",20250623_195226,12.02
AliExpress,15.6 Polegada relação de exibição 16:9 protetor de tela do notebook filme macio para dell/asus/samsung/lenovo/oshiba portátil tablet,"R$9,99",20250623_195226,9.99
AliExpress,Protetor de tela para macbook hd filme macio para ar 13 Polegada m1 m2 pro 13 14 15 16 Polegada barra toque max capa guarda acessórios,"R$9,99",20250623_195226,9.99
AliExpress,15.6 Polegada relação de exibição 16:9 protetor de tela do notebook filme macio para dell/asus/samsung/lenovo/oshiba portátil tablet,"R$9,99",20250623_195226,9.99
AliExpress,Suporte de monitor com ou sem hub usb3.0 notebook macbook desktop monitor riser titular teclado mouse armazenamento reduzir tensão no pescoço,"R$160,09",20250623_195226,160.09
AliExpress,Protetor de tela para macbook hd filme macio para ar 13 Polegada m1 m2 pro 13 14 15 16 Polegada barra toque max capa guarda acessórios,"R$9,29",20250623_195226,9.29
AliExpress,"Laptop touchpad película protetora, anti-risco, claro, para apple macbook air pro, 13, 14, 15, 16 polegadas","R$7,9",20250623_195226,7.9
AliExpress,15.6 Polegada relação de exibição 16:9 protetor de tela do notebook filme macio para dell/asus/samsung/lenovo/oshiba portátil tablet,"R$9,99",20250623_195226,9.99
AliExpress,"Jiiman54pieces fantasia país das maravilhas conjunto de diário lixo gravável, para artesanato, festa de férias, suprimentos para scrapbooking, artesanato diy","R$13,99",20250623_195226,13.99
AliExpress,96GE Laptop LCD moldura da moldura Substrinho Shell para T490,"R$9,59",20250623_195226,9.59
AliExpress,Para novo touchpad NST121-TD NST 121-TD H3121A-NEWHBB7 NHAEFI,"R$201,59",20250623_195226,201.59
AliExpress,Para novo touch pad original TPC105TD-E,"R$201,59",20250623_195226,201.59
AliExpress,30 pçs pequeno livro bonito pequeno presente atacado caderno portátil papelaria mini caderno com livro de bolso,"R$52,11",20250623_195226,52.11
AliExpress,"Capa pele personalizada para laptop 15 polegadas, protetor universal para notebook e pc","R$28,19",20250623_195226,28.19
AliExpress,para nova tela de toque 10.4 amt 28100282000 b 1071.0071 touch pad,"R$201,59",20250623_195226,201.59
AliExpress,Para m2 chip 2022 apple macbook air 13.6 Polegada portátil protetor de tela vidro temperado a2681 notebook bolha livre película protetora,"R$34,29",20250623_195226,34.29
AliExpress,"Etiqueta Teclado Universal, Modificar Texto Idioma, Copybook Texto, New Label Notebook, RU UE GR FR KR AR","R$18,59",20250623_195226,18.59
AliExpress,para AB 150700307118120801   touchpad,"R$201,59",20250623_195226,201.59
AliExpress,5pcs laptops tela lcd adesivo fita papel adesivo dupla face para tela lcd,"R$27,39",20250623_195226,27.39
AliExpress,Protetor de tela do portátil para apple macbook air 11 13 15 16 Polegada 13 Polegada (m1) 2020 a1932 a2179 a2337 película protetora de cobertura completa,"R$14,61",20250623_195226,14.61
AliExpress,10/25/50 pçs estético misto azul oceano mar mundo adesivos para diy notebook portátil telefone mala crianças brinquedo decalques capacete,"R$8,6",20250623_195226,8.6
AliExpress,"Protetor de Tela de Papel Magnético, Filme Matte Reutilizável, Compatível com iPad Pro 12.9 "", 2022, 21, 20, 18","R$24,37",20250623_195226,24.37
AliExpress,"Protetor de tela para laptop, película protetora ultra fina 9h transparente para apple macbook (a1534)","R$14,99",20250623_195226,14.99
AliExpress,15.6 polegadas de silicone portátil notebook teclado capa protetor filme para hp pavilion 250 g8 g7 g6 250 g7 255 g7 g6 256 g6 258 g7,"R$11,19",20250623_195226,11.19
AliExpress,Clássico popular ateez notebook mochilas aluno sacos de escola impressão oxford à prova dwaterproof água meninos/meninas mochilas portátil,"R$86,51",20250623_195226,86.51
AliExpress,Protetor de tela para matebook 14 15 d 16 x pro 13 e 16s 14s 13s d14 d15 d16 pele para huawei notebook guarda caso filme hd 2024,"R$43,21",20250623_195226,43.21
AliExpress,Para computador 27 inch16:9 widescreen monitor filtro de tela de privacidade removível pc anti-espião-peep-reflexo filme protetor de risco de olho,"R$83,91",20250623_195226,83.91
AliExpress,Protetor de tela HD para MacBook Pro 14 M1 M2 Pro Max Air 13 15 16 Filme macio transparente para laptop,"R$13,69",20250623_195226,13.69
AliExpress,Popular dos desenhos animados shikimori não apenas uma gracinha 3d sacos de escola unisex oxford à prova dwaterproof água notebook multifuncional mochilas viagem,"R$114,99",20250623_195226,114.99
AliExpress,1 pacote de filtro de tela de privacidade de 14 polegadas protetor de capa de filtro de privacidade para laptop,"R$63,09",20250623_195226,63.09
AliExpress,Cola completa 14 polegadas (310mm * 174mm) filtro de privacidade telas anti-espião película protetora para 16:9 protetor de tela de privacidade do laptop,"R$52,99",20250623_195226,52.99
AliExpress,Um protetor de touchpad anti-esfre transparente para MacBook M4/M3/M2 (2022-2025) modelos de toque protegem contra arranhões invisibelmente,"R$14,59",20250623_195226,14.59
AliExpress,Harajuku popular o guarda-chuva academia usb sacos de escola unisex impressão 3d oxford à prova dwaterproof água notebook multifuncional mochilas viagem,"R$114,99",20250623_195226,114.99
AliExpress,"para Panelview Plus 12502711 teclado p-b12c4a82711p-b12c4a9, touch pad","R$201,59",20250623_195226,201.59
AliExpress,Slide de cobertura de webcam de 12 constelações para laptop - Bloqueador de câmera de privacidade - Protege sua segurança e privacidade,"R$6,62",20250623_195226,6.62
AliExpress,"Protetor de tela magnética para apple macbook air 13 2022 2024, 13.6 polegadas, anti-espião/peep, a2681/a3113 m3","R$50,59",20250623_195226,50.59
AliExpress,Tablet de desenho lcd placa de escrita tablet lcd para projetos gráfico eletrônico notebook tablet mágico para desenhar,"R$17,05",20250623_195226,17.05
AliExpress,Película de tela para Microsoft Surface Pro 4 5 6 7 360 °   Película de proteção de privacidade para Surface go 1 2 3 4 Filme de atração magnética,"R$65,29",20250623_195226,65.29
AliExpress,Protetor de tela para lenovo ideapad 5 3 1 pro magro 5i flex 1i gen 9 8 7 6 hd claro guarda fosco filme de pele fosco 14 15 16 17,"R$40,19",20250623_195226,40.19
AliExpress,para 2711PC-B4C20D8 PanelView Plus 4002711 trackpad pc-b4c20d8,"R$128,99",20250623_195226,128.99
AliExpress,Portátil notebook sun sombra tela de privacidade capa dobrável saco do portátil trabalho ao ar livre para macbook lenovo dell computador pára-sol,"R$126,05",20250623_195226,126.05
AliExpress,Protetor de tela de laptop anti-espiando para macbook air pro 13 14 16 15.6 17 polegadas computador anti-espião PET filme fosco filtro de privacidade anti-reflexo/reflexo à prova d'água anti-impressão digital,"R$48,79",20250623_195226,48.79
AliExpress,"Protetor de tela para macbook pro apple, filme protetor antirreflexo para notebook com 15 tamanhos a1398 (retina)","R$16,18",20250623_195226,16.18
AliExpress,Para laptop 14 polegadas privacidade anti-peep/espião protetor de tela removível notebook computador filme de filtro de luz azul para proporção 16:9,"R$46,8",20250623_195226,46.8
AliExpress,Árabe russo inglês italiano alemão espanhol wubi tibetano japonês francês coreano hebraico caderno teclado luminoso adesivos,"R$16,59",20250623_195226,16.59
